0,1,2,3
"""1iota Update""",USA,39.7837304,-100.445882
"""1iota Update""","Los Angeles, California, USA",34.0536909,-118.242766
"""1iota Update""",USA,39.7837304,-100.445882
"""1iota Update""","Los Angeles, California, USA",34.0536909,-118.242766
"""2 Old Goats on Hogs""",USA,39.7837304,-100.445882
"""2 Old Goats on Hogs""","Austin, Texas, USA",30.2711286,-97.7436995
"""2 Old Goats on Hogs""",USA,39.7837304,-100.445882
"""2 Old Goats on Hogs""","Kerrville, Texas, USA",30.0474688,-99.1400207
"""2 Old Goats on Hogs""",USA,39.7837304,-100.445882
"""2 Old Goats on Hogs""","Georgetown, Texas, USA",30.6326942,-97.6772311
"""2-Bit Review""",USA,39.7837304,-100.445882
"""2-Bit Review""","Avon, Indiana, USA",39.762010000000004,-86.39295386143169
"""2015 MTV Video Music Awards with People Magazine""",USA,39.7837304,-100.445882
"""2015 MTV Video Music Awards with People Magazine""","Los Angeles, California, USA",34.0536909,-118.242766
"""2015 MTV Video Music Awards with People Magazine""",USA,39.7837304,-100.445882
"""2015 MTV Video Music Awards with People Magazine""","Los Angeles, California, USA",34.0536909,-118.242766
"""2015 MTV Video Music Awards with People Magazine""",USA,39.7837304,-100.445882
"""2015 MTV Video Music Awards with People Magazine""","Los Angeles, California, USA",34.0536909,-118.242766
"""2015 MTV Video Music Awards with People Magazine""",USA,39.7837304,-100.445882
"""2015 MTV Video Music Awards with People Magazine""","Los Angeles, California, USA",34.0536909,-118.242766
"""2015 MTV Video Music Awards with People Magazine""",USA,39.7837304,-100.445882
"""2015 MTV Video Music Awards with People Magazine""","Los Angeles, California, USA",34.0536909,-118.242766
"""2015 MTV Video Music Awards with People Magazine""",USA,39.7837304,-100.445882
"""2015 MTV Video Music Awards with People Magazine""","Los Angeles, California, USA",34.0536909,-118.242766
"""2015 MTV Video Music Awards with People Magazine""",USA,39.7837304,-100.445882
"""2015 MTV Video Music Awards with People Magazine""","Los Angeles, California, USA",34.0536909,-118.242766
"""2015 MTV Video Music Awards with People Magazine""",USA,39.7837304,-100.445882
"""2015 MTV Video Music Awards with People Magazine""","Los Angeles, California, USA",34.0536909,-118.242766
"""2015 Stanley Cup Finals""","Chicago, Illinois, USA",41.8755616,-87.6244212
"""2015 Stanley Cup Finals""","United Center - 1901 W. Madison Street, Near West Side, Chicago, Illinois, USA",41.88068305,-87.67418510441388
"""2015 Stanley Cup Finals""",USA,39.7837304,-100.445882
"""2015 Stanley Cup Finals""",USA,39.7837304,-100.445882
"""2015 Stanley Cup Finals""","Amalie Arena - 401 Channelside Drive, Tampa, Florida, USA",27.942704,-82.45189031562487
"""2015 Stanley Cup Finals""","Florida, USA",27.7567667,-81.4639835
"""2015 World Series""",USA,39.7837304,-100.445882
"""2015 World Series""","Kauffman Stadium - 1 Royal Way, Kansas City, Missouri, USA",39.0514715,-94.48139730530374
"""2015 World Series""",USA,39.7837304,-100.445882
"""2015 World Series""","Kauffman Stadium - 1 Royal Way, Kansas City, Missouri, USA",39.0514715,-94.48139730530374
"""2015 World Series""",USA,39.7837304,-100.445882
"""2015 World Series""",USA,39.7837304,-100.445882
"""2030""","Tbilisi, Georgia",41.6934591,44.8014495
"""25 Again""",USA,39.7837304,-100.445882
"""25 Again""","Los Angeles, California, USA",34.0536909,-118.242766
"""27th Annual Miss Asia USA,11th Annual Mrs. Asia USA and 1st Annual Miss Europe Global Cultural Pageants""",USA,39.7837304,-100.445882
"""27th Annual Miss Asia USA,11th Annual Mrs. Asia USA and 1st Annual Miss Europe Global Cultural Pageants""","Redondo Beach Performing Arts Center, Redondo Beach, California, USA",33.88818965,-118.37733946441433
"""360@""",New Zealand,-41.5000831,172.8344077
"""360@""",Brazil,-10.3333333,-53.2
"""360@""",Italy,42.6384261,12.674297
"""360@""",USA,39.7837304,-100.445882
"""360@""",Mexico,23.6585116,-102.0077097
"""37 Problems""",USA,39.7837304,-100.445882
"""37 Problems""","Los Angeles, California, USA",34.0536909,-118.242766
"""3x3 the Immersive Fiction""","Paris, France",48.8588897,2.3200410217200766
"""3x3 the Immersive Fiction""",France,46.603354,1.8883335
"""5 Cents & the Boyz""","Dublin, Ireland",53.3497645,-6.2602732
"""5 minuts tard""","Barcelona, Catalonia, Spain",41.3828939,2.1774322
"""5. Halvleg""","Copenhagen, Denmark",55.6867243,12.5700724
"""5. Halvleg""","Nordisk Film, Valby, Copenhagen, Denmark",55.66789,12.5144393
"""52%""",UK,54.7023545,-3.2765753
"""52%""","Liverpool, England, UK",53.4071991,-2.99168
"""57, 58, 59, SECHZIG! Die L�wen-Dokumentation""",Germany,51.0834196,10.4234469
"""57, 58, 59, SECHZIG! Die L�wen-Dokumentation""","Kiel, Schleswig-Holstein, Germany",54.3227085,10.135555
"""6/6/66""","New York City, New York, USA",40.7127281,-74.0060152
